fixture_id,league_id,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187279,13,River Plate,Deportivo Tachira FC,2.0,0.0,0.0,1.0,0.0,1.0,13,1
1187280,13,Libertad Asuncion,Club Nacional,2.0,1.0,5.0,3.0,,,1,9
1202193,13,San Lorenzo,Atletico-MG,1.0,1.0,2.0,0.0,,,1,3
1202194,13,Atletico-MG,San Lorenzo,1.0,0.0,3.0,3.0,,,4,7
1202195,13,Club Nacional,Sao Paulo,0.0,0.0,2.0,4.0,,,4,0
1202196,13,Sao Paulo,Club Nacional,2.0,0.0,2.0,2.0,,,2,4
1202197,13,Flamengo,Bolívar,2.0,0.0,2.0,1.0,,,12,1
1202198,13,Bolívar,Flamengo,1.0,0.0,1.0,3.0,1.0,0.0,8,3
1202199,13,Colo Colo,Junior,1.0,0.0,3.0,4.0,,,6,2
1202200,13,Junior,Colo Colo,1.0,2.0,1.0,3.0,1.0,0.0,2,3
1202201,13,Talleres Cordoba,River Plate,0.0,1.0,2.0,3.0,1.0,0.0,0,3
1202202,13,River Plate,Talleres Cordoba,2.0,1.0,1.0,2.0,,,5,7
1202203,13,Botafogo,Palmeiras,2.0,1.0,3.0,3.0,,,4,1
1202204,13,Palmeiras,Botafogo,2.0,2.0,1.0,5.0,,,9,1
1203722,13,Penarol,The Strongest,4.0,0.0,1.0,3.0,,,8,3
1203723,13,The Strongest,Penarol,1.0,0.0,3.0,3.0,,,9,1
1203724,13,Gremio,Fluminense,2.0,1.0,2.0,3.0,1.0,0.0,4,6
1203725,13,Fluminense,Gremio,2.0,1.0,5.0,3.0,,,7,2
1294399,13,Fluminense,Atletico-MG,,,0.0,0.0,0.0,0.0,0,0
1294400,13,Atletico-MG,Fluminense,,,0.0,0.0,0.0,0.0,0,0
1294401,13,Colo Colo,River Plate,,,0.0,0.0,0.0,0.0,0,0
1294402,13,River Plate,Colo Colo,,,0.0,0.0,0.0,0.0,0,0
1295064,13,Botafogo,Sao Paulo,,,0.0,0.0,0.0,0.0,0,0
1295065,13,Sao Paulo,Botafogo,,,0.0,0.0,0.0,0.0,0,0
1295066,13,Flamengo,Penarol,,,0.0,0.0,0.0,0.0,0,0
1295067,13,Penarol,Flamengo,,,0.0,0.0,0.0,0.0,0,0
1150508,11,Real Tomayapo,Jorge Wilstermann,0.0,0.0,1.0,1.0,,,5,4
1150509,11,Universitario de Vinto,Nacional Potosí,0.0,2.0,0.0,4.0,0.0,1.0,9,4
1150510,11,Everton de Vina,Union La Calera,0.0,1.0,2.0,4.0,,,10,3
1150511,11,Deportes Tolima,Independiente Medellin,0.0,0.0,1.0,1.0,,,7,4
1150512,11,U. Catolica,Coquimbo Unido,0.0,2.0,2.0,2.0,,,5,6
1150513,11,Alianza Petrolera,America de Cali,2.0,1.0,0.0,5.0,,,1,4
1150514,11,Deportivo Cuenca,Delfin SC,2.0,5.0,2.0,4.0,,,4,4
1150515,11,Tecnico Universitario,Universidad Catolica,0.0,3.0,2.0,4.0,,,8,1
1150516,11,Club Guarani,Sportivo Luqueno,0.0,1.0,3.0,2.0,,,4,5
1150517,11,Sportivo Ameliano,Olimpia,2.0,0.0,1.0,6.0,,,3,6
1150518,11,Deportivo Garcilaso,ADT,0.0,0.0,2.0,4.0,,,4,3
1150519,11,Cesar Vallejo,Sport Huancayo,2.0,0.0,2.0,1.0,,,6,2
1150520,11,Wanderers,Danubio,0.0,1.0,3.0,1.0,,,2,1
1150521,11,Racing Montevideo,Cerro Largo,2.0,0.0,3.0,1.0,,,1,8
1150522,11,Carabobo FC,Metropolitanos FC,1.0,1.0,2.0,1.0,0.0,1.0,8,4
1150523,11,Rayo Zuliano,Real Esppor Club,0.0,0.0,2.0,2.0,,,2,5
1187089,11,Sportivo Ameliano,Atletico Paranaense,1.0,4.0,0.0,2.0,,,2,6
1187090,11,Nacional Asuncion,Argentinos JRS,2.0,3.0,2.0,1.0,,,3,2
1187091,11,Belgrano Cordoba,Internacional,0.0,0.0,2.0,3.0,,,5,5
1187092,11,Racing Montevideo,Corinthians,1.0,1.0,2.0,2.0,,,4,6
1187093,11,Cesar Vallejo,Defensa Y Justicia,0.0,1.0,2.0,2.0,,,1,6
1187094,11,Rayo Zuliano,Danubio,0.0,2.0,3.0,3.0,,,3,6
1187095,11,Cuiaba,Lanus,1.0,1.0,0.0,3.0,,,4,0
1187096,11,Nacional Potosí,Boca Juniors,0.0,0.0,4.0,5.0,,,4,5
1187097,11,Sportivo Trinidense,Fortaleza EC,0.0,2.0,2.0,3.0,0.0,1.0,11,6
1187098,11,RB Bragantino,Coquimbo Unido,1.0,0.0,2.0,2.0,,,3,4
1187099,11,Alianza Petrolera,Union La Calera,0.0,1.0,4.0,3.0,,,2,3
1187100,11,Deportivo Garcilaso,Metropolitanos FC,3.0,2.0,0.0,3.0,,,8,0
1187101,11,Sportivo Luqueno,Racing Club,0.0,2.0,2.0,3.0,,,3,1
1187102,11,Universidad Catolica,Cruzeiro,0.0,0.0,1.0,1.0,,,7,0
1187103,11,Always Ready,Independiente Medellin,2.0,0.0,1.0,2.0,,,6,5
1187104,11,Real Tomayapo,Delfin SC,0.0,2.0,1.0,1.0,,,0,7
1187105,11,Argentinos JRS,Racing Montevideo,0.0,3.0,2.0,2.0,,,9,1
1187106,11,Corinthians,Nacional Asuncion,4.0,0.0,2.0,2.0,0.0,1.0,10,0
1187107,11,Danubio,Sportivo Ameliano,0.0,0.0,0.0,3.0,,,4,4
1187108,11,Boca Juniors,Sportivo Trinidense,1.0,0.0,0.0,5.0,,,10,6
1187109,11,Atletico Paranaense,Rayo Zuliano,6.0,0.0,0.0,1.0,,,5,5
1187110,11,Defensa Y Justicia,Always Ready,1.0,1.0,4.0,5.0,,,3,3
