fixture_id,league_id,season,round,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187233,13,2024,Group Stage - 4,Caracas FC,Penarol,0.0,1.0,2.0,1.0,,,5,2
1187234,13,2024,Group Stage - 4,Rosario Central,Atletico-MG,0.0,1.0,1.0,4.0,,,2,6
1187235,13,2024,Group Stage - 4,Club Nacional,River Plate,2.0,2.0,7.0,2.0,,,12,2
1187236,13,2024,Group Stage - 4,Palestino,Flamengo,1.0,0.0,2.0,3.0,,,6,5
1187237,13,2024,Group Stage - 4,Deportivo Tachira FC,Libertad Asuncion,1.0,1.0,1.0,2.0,,,4,3
1187238,13,2024,Group Stage - 4,Universitario,Junior,1.0,1.0,2.0,2.0,,,5,5
1187239,13,2024,Group Stage - 4,Huachipato,Gremio,0.0,1.0,3.0,2.0,0.0,0.0,6,5
1187240,13,2024,Group Stage - 4,Talleres Cordoba,Barcelona SC,3.0,1.0,1.0,4.0,,,5,5
1187241,13,2024,Group Stage - 4,Alianza Lima,Cerro Porteno,1.0,1.0,2.0,3.0,,,9,3
1187242,13,2024,Group Stage - 4,Botafogo,LDU de Quito,2.0,1.0,4.0,3.0,,,1,5
1187243,13,2024,Group Stage - 4,Cobresal,Sao Paulo,1.0,3.0,2.0,0.0,,,2,3
1187244,13,2024,Group Stage - 4,Millonarios,Bolívar,1.0,1.0,4.0,4.0,,,3,6
1187245,13,2024,Group Stage - 4,San Lorenzo,Independiente del Valle,2.0,0.0,2.0,3.0,1.0,0.0,5,2
1187246,13,2024,Group Stage - 4,Liverpool Montevideo,Palmeiras,0.0,5.0,1.0,2.0,,,5,3
1187247,13,2024,Group Stage - 4,Colo Colo,Fluminense,0.0,1.0,2.0,6.0,,,4,2
1187248,13,2024,Group Stage - 4,The Strongest,Estudiantes L.P.,1.0,0.0,2.0,3.0,,,0,7
1187249,13,2024,Group Stage - 5,Talleres Cordoba,Cobresal,1.0,0.0,3.0,2.0,,,7,4
1187250,13,2024,Group Stage - 5,LDU de Quito,Junior,0.0,1.0,1.0,1.0,,,8,2
1187251,13,2024,Group Stage - 5,Penarol,Atletico-MG,2.0,0.0,3.0,4.0,,,2,2
1187252,13,2024,Group Stage - 5,River Plate,Libertad Asuncion,2.0,0.0,1.0,2.0,,,6,7
1187253,13,2024,Group Stage - 5,Millonarios,Palestino,1.0,1.0,1.0,4.0,,,7,4
